iter	RMSE
0	8.124026463
1	8.008773474
2	7.91199776
3	7.795742295
4	7.696193691
5	7.59835901
6	7.534170704
7	7.472292497
8	7.400563867
9	7.3364028
10	7.279115908
11	7.224834189
12	7.201123636
13	7.125543464
14	7.075754752
15	7.044292543
16	7.011444854
17	6.961260066
18	6.894766519
19	6.871315845
20	6.855477232
21	6.832992948
22	6.802476542
23	6.789587153
24	6.766710862
25	6.738266259
26	6.71733061
27	6.694952682
28	6.676506911
29	6.617987936
30	6.592634285
31	6.568856152
32	6.540239198
33	6.512092677
34	6.48542066
35	6.461375941
36	6.411544139
37	6.370640593
38	6.35156654
39	6.327478979
40	6.306396543
41	6.287632583
42	6.270362886
43	6.259462207
44	6.211507416
45	6.173028712
46	6.156635981
47	6.139555964
48	6.125171267
49	6.113774977
50	6.098483723
51	6.062873043
52	6.046885133
53	6.031860182
54	6.018904749
55	5.999262838
56	5.989630531
57	5.969942456
58	5.94182923
59	5.918775335
60	5.877385729
61	5.832116877
62	5.812984174
63	5.801335832
64	5.7929385
65	5.779894067
66	5.770442437
67	5.755130364
68	5.731424415
69	5.716774372
70	5.697664524
71	5.682941414
72	5.649699215
73	5.623059457
74	5.599489475
75	5.580950738
76	5.574110765
77	5.563373047
78	5.546190368
79	5.532625282
80	5.517733877
81	5.504720561
82	5.486905214
83	5.437512925
84	5.42080209
85	5.404031656
86	5.388871872
87	5.37706632
88	5.362196312
89	5.342711906
90	5.334236976
91	5.325005348
92	5.313333518
93	5.301976897
94	5.286839928
95	5.257244591
96	5.246441044
97	5.234154353
98	5.222092751
99	5.213176181
100	5.197858914
101	5.177819928
102	5.165749189
103	5.145331373
104	5.132451371
105	5.121504897
106	5.111971145
107	5.09371378
108	5.083328832
109	5.074259682
110	5.059439915
111	5.037184721
112	5.029238067
113	5.019426402
114	5.003812885
115	4.988312184
116	4.965618719
117	4.951941237
118	4.940640672
119	4.932744542
120	4.924461626
121	4.915596495
122	4.90608946
123	4.88857435
124	4.862997583
125	4.854089867
126	4.842782457
127	4.834966844
128	4.822530902
129	4.810948163
130	4.795383356
131	4.784373185
132	4.774379606
133	4.764138844
134	4.752046029
135	4.740354785
136	4.725271844
137	4.706154547
138	4.69806742
139	4.693125065
140	4.685595134
141	4.6768553
142	4.664977297
143	4.652558428
144	4.637031943
145	4.628901573
146	4.616904928
147	4.609881742
148	4.598264812
149	4.58638262
150	4.580262574
