iter	Passed	Remaining
0	325	324817
1	475	237191
2	600	199427
3	769	191582
4	920	183273
5	1073	177845
6	1217	172764
7	1345	166870
8	1481	163144
9	1626	161067
10	1784	160404
11	1924	158486
12	2055	156074
13	2225	156715
14	2380	156326
15	2550	156857
16	2735	158158
17	2905	158502
18	3083	159183
19	3239	158736
20	3401	158553
21	3585	159413
22	3741	158937
23	3877	157691
24	4052	158054
25	4207	157618
26	4383	157951
27	4533	157371
28	4697	157300
29	4854	156970
30	5026	157112
31	5197	157223
32	5354	156904
33	5504	156394
34	5687	156819
35	5836	156293
36	6019	156661
37	6196	156876
38	6355	156604
39	6518	156448
40	6676	156164
41	6809	155329
42	6977	155284
43	7150	155363
44	7322	155398
45	7420	153885
46	7589	153897
47	7745	153611
48	7892	153183
49	8044	152842
50	8227	153093
51	8391	152988
52	8544	152666
53	8697	152364
54	8863	152293
55	9018	152026
56	9192	152083
57	9371	152208
58	9550	152321
59	9714	152187
60	9908	152531
61	10080	152513
62	10268	152726
63	10441	152712
64	10616	152707
65	10798	152815
66	10958	152601
67	11115	152341
68	11292	152362
69	11449	152108
70	11611	151925
71	11776	151783
72	11933	151540
73	12095	151361
74	12256	151165
75	12433	151159
76	12589	150911
77	12738	150569
78	12907	150480
79	13078	150399
80	13244	150262
81	13408	150112
82	13583	150072
83	13750	149948
84	13903	149661
85	14061	149439
86	14208	149111
87	14375	148980
88	14559	149027
89	14745	149088
90	14924	149076
91	15103	149060
92	15283	149050
93	15423	148660
94	15573	148359
95	15756	148371
96	15920	148209
97	16098	148170
98	16239	147793
99	16412	147715
100	16562	147420
101	16711	147126
102	16879	146999
103	17040	146814
104	17193	146557
105	17339	146236
106	17492	145988
107	17637	145674
108	17826	145722
109	18015	145758
110	18190	145684
111	18368	145633
112	18550	145616
113	18726	145540
114	18888	145355
115	19051	145183
116	19227	145113
117	19404	145037
118	19557	144789
119	19730	144693
120	19902	144582
121	20077	144488
122	20248	144372
123	20408	144179
124	20585	144096
125	20750	143934
126	20923	143825
127	21094	143705
128	21256	143523
129	21419	143347
130	21583	143175
131	21731	142901
132	21908	142819
133	22089	142760
134	22278	142748
135	22419	142426
136	22570	142177
137	22728	141969
138	22891	141796
139	23053	141616
140	23230	141522
